20190106SUN27,西班牙甲組聯賽,基達菲,[+1/+1.5],巴塞隆拿,[-1/-1.5],1.85,1.99
20190106SUN28,葡萄牙超級聯賽,布拉加,[-1.5/-2],博維斯塔,[+1.5/+2],2.19,1.70
20190106SUN29,墨西哥超級聯賽,盧保斯,[0/+0.5],拿根亞,[0/-0.5],1.74,2.13
20190107MON1,亞洲盃,中國,[-1/-1.5],吉爾吉斯,[+1/+1.5],1.92,1.90
20190107MON2,亞洲盃,南韓,[-2.5/-3],菲律賓,[+2.5/+3],2.03,1.80
20190107MON4,葡萄牙超級聯賽,唐迪拉,[+0.5/+1],士砵亭,[-0.5/-1],2.09,1.77
20190107MON5,英格蘭足總盃,狼隊,[+0.5/+1],利物浦,[-0.5/-1],1.70,2.10
20190107MON6,法國足總盃,里爾,[-1/-1.5],索察,[+1/+1.5],1.80,1.97
20190107MON7,西班牙甲組聯賽,切爾達,[0/-0.5],畢爾包,[0/+0.5],2.03,1.81
20190107MON8,葡萄牙超級聯賽,波圖,[-2/-2.5],國民隊,[+2/+2.5],1.93,1.91
