20190107MON2,亞洲盃,南韓,[-2],菲律賓,[+2],1.65,4.25,3.50
20190107MON4,葡萄牙超級聯賽,唐迪拉,[+1],士砵亭,[-1],2.35,3.30,2.50
20190107MON5,英格蘭足總盃,狼隊,[+1],利物浦,[-1],1.96,3.45,3.05
20190107MON6,法國足總盃,里爾,[-1],索察,[+1],1.97,3.30,3.15
20190107MON7,西班牙甲組聯賽,切爾達,[-1],畢爾包,[+1],4.60,3.75,1.55
20190107MON8,葡萄牙超級聯賽,波圖,[-2],國民隊,[+2],2.02,3.90,2.65
20190108TUE1,澳洲職業聯賽,西悉尼流浪者,[-1],威靈頓鳳凰,[+1],3.40,3.60,1.80
20190108TUE2,亞洲盃,伊拉克,[-1],越南,[+1],2.23,3.10,2.80
20190108TUE3,亞洲盃,沙特阿拉伯,[-1],北韓,[+1],3.15,3.10,2.05
20190108TUE4,法國甲組聯賽,南特,[-1],蒙彼利埃,[+1],4.80,3.65,1.55
20190108TUE5,法國甲組聯賽,艾米恩斯,[-1],昂熱,[+1],5.50,3.90,1.45
20190108TUE10,英格蘭聯賽錦標,修安聯,[+1],樸茨茅夫,[-1],1.67,3.65,3.90
20190108TUE11,英格蘭聯賽盃,熱刺,[-1],車路士,[+1],3.80,3.65,1.69
20190108TUE12,法國聯賽盃,里昂,[-1],斯特拉斯堡,[+1],2.07,3.40,2.85
20190108TUE13,西班牙盃,希杭,[+1],華倫西亞,[-1],1.82,3.40,3.50
20190108TUE15,墨西哥盃,普馬斯,[-1],阿特拿斯,[+1],3.75,3.55,1.73
20190108TUE17,墨西哥盃,盧保斯,[-1],薩卡特卡斯,[+1],3.40,3.50,1.82
20190109WED1,澳洲職業聯賽,阿德萊德聯,[-1],墨爾本勝利,[+1],4.65,4.05,1.50
20190109WED3,澳洲職業聯賽,珀斯光輝,[+1],FC悉尼,[-1],1.48,4.05,4.85
20190109WED4,亞洲盃,烏茲別克,[-1],阿曼,[+1],4.00,3.25,1.75
20190109WED5,亞洲盃,卡塔爾,[-1],黎巴嫩,[+1],3.05,3.10,2.10
20190109WED6,法國聯賽盃,摩納哥,[-1],雷恩,[+1],4.80,4.00,1.49
20190109WED7,西班牙盃,基羅納,[+1],馬德里體育會,[-1],1.85,3.25,3.55
20190109WED9,西班牙盃,維拉利爾,[-1],愛斯賓奴,[+1],3.80,3.40,1.75
20190109WED11,法國聯賽盃,波爾多,[-1],勒哈弗爾,[+1],2.77,3.25,2.18
20190109WED13,西班牙盃,皇家馬德里,[-1],雷加利斯,[+1],1.80,3.60,3.40
20190109WED15,墨西哥盃,譚比高馬迪羅,[+1],普埃布拉,[-1],1.63,3.55,4.30
20190109WED16,墨西哥盃,聖路易斯,[+1],尼卡沙,[-1],1.52,3.80,4.80
20190108TUE2,亞洲盃,伊拉克,[-1],越南,[+1],2.23,3.10,2.80
20190108TUE3,亞洲盃,沙特阿拉伯,[-1],北韓,[+1],3.15,3.10,2.05
20190108TUE4,法國甲組聯賽,南特,[-1],蒙彼利埃,[+1],4.80,3.65,1.55
20190108TUE5,法國甲組聯賽,艾米恩斯,[-1],昂熱,[+1],5.50,3.90,1.45
20190108TUE10,英格蘭聯賽錦標,修安聯,[+1],樸茨茅夫,[-1],1.67,3.65,3.90
20190108TUE11,英格蘭聯賽盃,熱刺,[-1],車路士,[+1],3.80,3.65,1.69
20190109WED6,法國聯賽盃,摩納哥,[-1],雷恩,[+1],4.80,4.00,1.49
20190109WED7,西班牙盃,基羅納,[+1],馬德里體育會,[-1],1.85,3.25,3.55
20190109WED9,西班牙盃,維拉利爾,[-1],愛斯賓奴,[+1],3.80,3.40,1.75
20190109WED11,法國聯賽盃,波爾多,[-1],勒哈弗爾,[+1],2.77,3.25,2.18
20190109WED13,西班牙盃,皇家馬德里,[-1],雷加利斯,[+1],1.80,3.60,3.40
20190109WED15,墨西哥盃,譚比高馬迪羅,[+1],普埃布拉,[-1],1.63,3.55,4.30
20190109WED16,墨西哥盃,聖路易斯,[+1],尼卡沙,[-1],1.52,3.80,4.80
